master_site_id,dive_site_name,country_or_area,country_code,latitude,longitude,max_depth_m,source_count,sources,source_record_count,source_record_ids,source_urls,licenses_and_attribution,data_quality_notes
DS009670,"sha""ab Anbar (south platform)",Sudan,SD,NA,NA,NA,1,PADI Global Dive Sites,1,PADI Global Dive Sites:958,https://www.padi.com/dive-site/sudan/shaab-anbar-south-platform/,PADI terms; factual compilation for personal research,coordinates unavailable; max depth unavailable
DS009671,sua'ab Rumi,Sudan,SD,NA,NA,NA,1,PADI Global Dive Sites,1,PADI Global Dive Sites:956,https://www.padi.com/dive-site/sudan/suaab-rumi/,PADI terms; factual compilation for personal research,coordinates unavailable; max depth unavailable
DS009672,"Sudan, Mar Rojo",Sudan,SD,NA,NA,NA,1,PADI Global Dive Sites,1,PADI Global Dive Sites:2845,https://www.padi.com/dive-site/sudan/sudan-mar-rojo/,PADI terms; factual compilation for personal research,coordinates unavailable; max depth unavailable
DS009673,Tiller Wreck,Sudan,SD,NA,NA,NA,1,PADI Global Dive Sites,1,PADI Global Dive Sites:2860,https://www.padi.com/dive-site/sudan/tiller-wreck/,PADI terms; factual compilation for personal research,coordinates unavailable; max depth unavailable
DS009674,Umbria Wreck,Sudan,SD,NA,NA,NA,1,PADI Global Dive Sites,1,PADI Global Dive Sites:500,https://www.padi.com/dive-site/sudan/umbria-wreck/,PADI terms; factual compilation for personal research,coordinates unavailable; max depth unavailable
DS009675,Elba Reef East (Southplateau),Sudan Red Sea,SD,21.9827164,37.0406829,16,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):13045042999,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sudan-red-sea.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009676,"Elba Reef, West-Plateau",Sudan Red Sea,SD,21.9691591,37.0241608,32,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):13045036765,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sudan-red-sea.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009677,Levanzo Wreck,Sudan Red Sea,SD,21.9878634,37.0452519,65,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):13045042048,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sudan-red-sea.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009678,SS Umbria,Sudan Red Sea,SD,19.6367128,37.2906381,38,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):9721478944,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sudan-red-sea.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009679,Angel Reef,Sumbawa,ID,-8.2303,117.4756,40,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:1,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009680,Bonto Reef,Sumbawa,ID,-8.21,118.9997,25,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:11,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009681,Hot Rocks,Sumbawa,ID,-8.1711,119.0564,30,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:13,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009682,K2,Sumbawa,ID,-8.4034,119.276,25,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:10,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009683,Lighthouse Reef,Sumbawa,ID,-8.13,119.1,29,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:14,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009684,Little Angel,Sumbawa,ID,-8.2307,117.4787,35,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:2,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009685,Panjang Reef,Sumbawa,ID,-8.21,117.475,30,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:3,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009686,Rollercoaster,Sumbawa,ID,-8.3925,119.2753,30,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:9,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009687,Satonda Reef,Sumbawa,ID,-8.1213,117.7467,25,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:4,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009688,Sumbawa Surprise,Sumbawa,ID,-8.2342,117.6945,30,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:6,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009689,Sumbawa Wall,Sumbawa,ID,-8.1478,117.7336,40,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:5,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009690,Tanduk Rusa,Sumbawa,ID,-8.46,119.27,40,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:8,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009691,Tanjung Batu Putih,Sumbawa,ID,-8.3,118.8,40,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:7,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009692,Tikno Reef,Sumbawa,ID,-8.1421,119.0275,31,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):sumbawa:12,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/sumbawa.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009693,Alkhornet Cliff,Svalbard,NO,78.23,13.83,22,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:9,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009694,Barentsburg Coast,Svalbard,NO,78.064,14.225,15,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:7,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009695,Isfjorden Kelp Forest,Svalbard,NO,78.25,15,15,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:8,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009696,Kongsfjorden,Svalbard,NO,78.96,12,25,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:6,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009697,Longyearbyen Pier,Svalbard,NO,78.23,15.64,12,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:3,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009698,Ny-Ålesund Harbor,Svalbard,NO,78.924,11.928,18,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:2,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009699,Pyramiden Harbor,Svalbard,NO,78.653,16.328,20,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:5,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009700,Smeerenburg,Svalbard,NO,79.73,11.05,20,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):svalbard:4,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/svalbard.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009701,Anna-Maria,Sweden,NA,NA,NA,22,1,PADI Global Dive Sites,1,PADI Global Dive Sites:9972,https://www.padi.com/dive-site/sweden/anna-maria/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009702,"Arild, Kullaberg",Sweden,NA,NA,NA,18,1,PADI Global Dive Sites,1,PADI Global Dive Sites:6368,https://www.padi.com/dive-site/sweden/arild-kullaberg/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009703,Betty Blue,Sweden,NA,NA,NA,25,1,PADI Global Dive Sites,1,PADI Global Dive Sites:9953,https://www.padi.com/dive-site/sweden/betty-blue/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009704,Bodekull,Sweden,NA,NA,NA,33,1,PADI Global Dive Sites,1,PADI Global Dive Sites:9968,https://www.padi.com/dive-site/sweden/bodekull/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009705,Dalby Stenbrott,Sweden,NA,NA,NA,8,1,PADI Global Dive Sites,1,PADI Global Dive Sites:3422,https://www.padi.com/dive-site/sweden/dalby-stenbrott/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009706,Gröne Jägaren,Sweden,NA,NA,NA,33,1,PADI Global Dive Sites,1,PADI Global Dive Sites:9967,https://www.padi.com/dive-site/sweden/grone-jagaren/,PADI terms; factual compilation for personal research,coordinates unavailable
